x2,x4,x5,y1
26,3.4,38.9,0
26,4,19.1,0
31,3.6,14.4,0
15,4.8,17.1,0
21,4.8,18.6,0
24,4.9,23.8,0
31,4.2,29.4,0
21,4.1,31.2,0
21,4.6,40.2,0
22,4.8,40.3,0
26,3.6,32.6,0
33,6.9,7.8,1
51,4.4,5.6,0
46,4.2,4.9,0
35,4.6,10.5,0
51,5.8,25.9,0
51,4.1,28.1,0
52,4.6,23.4,0
56,5.5,31.3,0
46,4.2,20.7,0
27,4,16.2,0
16,4.2,26.6,0
49,9.1,77.8,1
16,7.7,58.7,1
43,6.5,64.2,0
41,6.1,16.2,0
36,5.1,26.4,0
18,5,25.5,0
22,3.9,16.7,0
15,5.5,38.1,0
13,5.1,21.9,0
51,6,41.9,0
24,6,71.2,0
35,5.5,54.3,0
19,6.4,93.7,0
14,6,70.6,0
1,6.5,60.2,0
25,4.8,19.4,0
16,4.8,13.2,0
12,4.3,4.9,0
13,7.7,61.2,1
42,4.1,5.6,0
9,4.3,6.6,0
38,6.1,14.1,0
38,5.5,15.3,0
24,4.5,5.4,0
25,4,6.8,0
15,5,22.1,0
33,5.1,22.9,0
10,5.1,25.8,0
