x2,x4,x5,y1
53,6.9,59.9,1
57,4.7,50,0
67,4,6.9,0
79,4,6.3,0
82,4.4,5.4,0
80,3.5,8.1,0
75,3.6,5.7,0
75,3.8,5.6,0
71,4.2,13.8,0
50,4.1,8.8,0
48,4.3,13.3,0
44,5.8,29,0
21,5.7,32,0
15,6.7,11.1,1
60,4.7,5.8,0
54,4.3,10.4,0
50,4.9,3.2,0
50,5.1,20.2,0
48,5,5.5,0
47,5.1,5.4,0
47,5.1,3.7,0
24,4.2,6.1,0
17,3.8,9.5,0
37,6.7,15.2,1
62,4,7.6,0
47,5.2,14.5,0
47,4.6,17.3,0
47,6.7,15.2,0
42,4.8,11.5,0
40,5.9,17.2,0
24,4.6,14.3,0
17,3.8,16.7,0
16,3.5,7,0
30,6.7,17.5,1
53,3.6,8,0
46,4.4,18.1,0
30,5.2,17.4,0
30,6.7,17.5,0
26,3.6,11.2,0
24,5,19,0
23,4.6,18.1,0
7,4.6,17.6,0
2,3.5,4.7,0
15,6.7,8.5,1
50,5.1,43.8,0
33,5.1,17.1,0
30,5.1,4.9,0
7,4,5.6,0
23,6.7,10.1,1
47,4.4,34.5,0
39,4.4,20.2,0
37,5.4,37.8,0
26,4.9,20.5,0
23,3.6,12.2,0
23,5.2,44.9,0
18,4.8,14.3,0
16,5.9,20.4,0
24,6.6,7.2,1
22,4.4,26.7,0
47,5.1,33.4,0
9,4.1,17.1,0
30,4,10.8,0
47,5.1,4.9,0
41,5,25.1,0
67,4.2,17,0
24,3.9,10.9,0
24,4,11.3,0
47,4.5,3.5,0
24,6.6,5.8,1
44,4,16.2,0
17,3.8,4.3,0
47,5.1,8.2,0
24,4.4,5.8,0
47,5.6,11.3,0
47,4.1,14.4,0
3,3.9,24.5,0
47,3.9,9.7,0
24,4.2,4.1,0
32,6.9,58.9,1
77,4.2,11.2,0
25,5.8,44.5,0
58,5.3,52.6,0
50,5.8,26.1,0
50,5.4,32.7,0
85,4,24.2,0
88,4.4,3,0
84,6,27.2,0
59,4.3,28.6,0
54,6.2,48.1,0
25,6.9,10.4,1
27,5.2,80.6,0
5,4.3,9.4,0
22,5.7,23.2,0
20,5.1,37.3,0
53,4,9.3,0
36,4.4,24,0
9,4.2,25.7,0
2,5.5,112.9,0
10,3.7,14,0
22,5.5,28,0
