x2,x5,y1
53,59.9,1
57,50,0
67,6.9,0
79,6.3,0
82,5.4,0
80,8.1,0
75,5.7,0
75,5.6,0
71,13.8,0
50,8.8,0
48,13.3,0
44,29,0
21,32,0
15,11.1,1
60,5.8,0
54,10.4,0
50,3.2,0
50,20.2,0
48,5.5,0
47,5.4,0
47,3.7,0
24,6.1,0
17,9.5,0
37,15.2,1
62,7.6,0
47,14.5,0
47,17.3,0
47,15.2,0
42,11.5,0
40,17.2,0
24,14.3,0
17,16.7,0
16,7,0
30,17.5,1
53,8,0
46,18.1,0
30,17.4,0
30,17.5,0
26,11.2,0
24,19,0
23,18.1,0
7,17.6,0
2,4.7,0
15,8.5,1
50,43.8,0
33,17.1,0
30,4.9,0
7,5.6,0
23,10.1,1
47,34.5,0
39,20.2,0
37,37.8,0
26,20.5,0
23,12.2,0
23,44.9,0
18,14.3,0
16,20.4,0
24,7.2,1
22,26.7,0
47,33.4,0
9,17.1,0
30,10.8,0
47,4.9,0
41,25.1,0
67,17,0
24,10.9,0
24,11.3,0
47,3.5,0
24,5.8,1
44,16.2,0
17,4.3,0
47,8.2,0
24,5.8,0
47,11.3,0
47,14.4,0
3,24.5,0
47,9.7,0
24,4.1,0
32,58.9,1
77,11.2,0
25,44.5,0
58,52.6,0
50,26.1,0
50,32.7,0
85,24.2,0
88,3,0
84,27.2,0
59,28.6,0
54,48.1,0
25,10.4,1
27,80.6,0
5,9.4,0
22,23.2,0
20,37.3,0
53,9.3,0
36,24,0
9,25.7,0
2,112.9,0
10,14,0
22,28,0
