x4,x5,y1
6.9,59.9,1
4.7,50,0
4,6.9,0
4,6.3,0
4.4,5.4,0
3.5,8.1,0
3.6,5.7,0
3.8,5.6,0
4.2,13.8,0
4.1,8.8,0
4.3,13.3,0
5.8,29,0
5.7,32,0
6.7,11.1,1
4.7,5.8,0
4.3,10.4,0
4.9,3.2,0
5.1,20.2,0
5,5.5,0
5.1,5.4,0
5.1,3.7,0
4.2,6.1,0
3.8,9.5,0
6.7,15.2,1
4,7.6,0
5.2,14.5,0
4.6,17.3,0
6.7,15.2,0
4.8,11.5,0
5.9,17.2,0
4.6,14.3,0
3.8,16.7,0
3.5,7,0
6.7,17.5,1
3.6,8,0
4.4,18.1,0
5.2,17.4,0
6.7,17.5,0
3.6,11.2,0
5,19,0
4.6,18.1,0
4.6,17.6,0
3.5,4.7,0
6.7,8.5,1
5.1,43.8,0
5.1,17.1,0
5.1,4.9,0
4,5.6,0
6.7,10.1,1
4.4,34.5,0
4.4,20.2,0
5.4,37.8,0
4.9,20.5,0
3.6,12.2,0
5.2,44.9,0
4.8,14.3,0
5.9,20.4,0
6.6,7.2,1
4.4,26.7,0
5.1,33.4,0
4.1,17.1,0
4,10.8,0
5.1,4.9,0
5,25.1,0
4.2,17,0
3.9,10.9,0
4,11.3,0
4.5,3.5,0
6.6,5.8,1
4,16.2,0
3.8,4.3,0
5.1,8.2,0
4.4,5.8,0
5.6,11.3,0
4.1,14.4,0
3.9,24.5,0
3.9,9.7,0
4.2,4.1,0
6.9,58.9,1
4.2,11.2,0
5.8,44.5,0
5.3,52.6,0
5.8,26.1,0
5.4,32.7,0
4,24.2,0
4.4,3,0
6,27.2,0
4.3,28.6,0
6.2,48.1,0
6.9,10.4,1
5.2,80.6,0
4.3,9.4,0
5.7,23.2,0
5.1,37.3,0
4,9.3,0
4.4,24,0
4.2,25.7,0
5.5,112.9,0
3.7,14,0
5.5,28,0
9.2,89,1
7.1,107,0
6.9,116.9,0
6,28.9,0
6.6,104.9,0
6.4,124,0
6.8,78.4,0
4.1,103.5,0
3.5,45.3,0
6.8,161.5,0
3.7,68.4,0
5.6,53.6,0
3.6,54.2,0
4.3,87.7,0
4.7,57.2,0
6.9,17.7,1
4.4,18.3,0
4.2,7.9,0
3.9,7.9,0
5.8,37.7,0
4.6,7.2,0
5.1,51.3,0
5.5,57.3,0
4.1,38.7,0
4.6,34.2,0
3.6,16.2,0
4.3,29.7,0
4.9,31.9,0
3.8,26,0
4.2,37,0
6.9,13.9,1
5.5,22.5,0
4,24.5,0
4.6,20.1,0
3.7,21.8,0
4.2,12.5,0
3.9,19.3,0
4.9,23.2,0
3.8,24.5,0
4.4,25.5,0
5.4,42.8,0
5.1,47,0
4.5,35.5,0
4,40.2,0
4.3,29.4,0
6.9,20.5,1
4.2,11.1,0
3.7,10.1,0
4.7,32.5,0
3.4,38.9,0
4,19.1,0
3.6,14.4,0
4.8,17.1,0
4.8,18.6,0
4.9,23.8,0
4.2,29.4,0
4.1,31.2,0
4.6,40.2,0
4.8,40.3,0
3.6,32.6,0
6.9,7.8,1
4.4,5.6,0
4.2,4.9,0
4.6,10.5,0
5.8,25.9,0
4.1,28.1,0
4.6,23.4,0
5.5,31.3,0
4.2,20.7,0
4,16.2,0
4.2,26.6,0
9.1,77.8,1
7.7,58.7,1
6.5,64.2,0
6.1,16.2,0
5.1,26.4,0
5,25.5,0
3.9,16.7,0
5.5,38.1,0
5.1,21.9,0
6,41.9,0
6,71.2,0
5.5,54.3,0
6.4,93.7,0
6,70.6,0
6.5,60.2,0
4.8,19.4,0
4.8,13.2,0
4.3,4.9,0
7.7,61.2,1
4.1,5.6,0
4.3,6.6,0
6.1,14.1,0
5.5,15.3,0
4.5,5.4,0
4,6.8,0
5,22.1,0
5.1,22.9,0
5.1,25.8,0
5.3,28.7,0
